Symbol,Date,Open,High,Low,Close,Volume,Open Interest
MWK22,2021-10-06,909.5,919,908.75,913.5,409,5617
MWK22,2021-10-05,902.5,906.25,901.25,903.25,646,5619
MWK22,2021-10-04,905,909.75,901,908.5,632,5283
MWK22,2021-10-01,890.25,908.5,890.25,904.5,967,4995
MWK22,2021-09-30,885,894.25,871.75,887.25,852,4777
MWK22,2021-09-29,883.75,887.5,875.75,877.25,321,4681
MWK22,2021-09-28,891.25,894.5,879.25,881.5,410,4715
MWK22,2021-09-27,892.25,895.5,888.5,893,202,4676
MWK22,2021-09-24,883.5,894.25,881.75,889.75,189,4622
MWK22,2021-09-23,883,889.75,880.75,885.5,368,4687
MWK22,2021-09-22,864.75,878.75,864.75,878.25,626,4698
MWK22,2021-09-21,871,871.5,861,865.5,332,4701
MWK22,2021-09-20,873.5,874.75,866,870.5,664,4685
MWK22,2021-09-17,883,884,871.5,876.5,502,4765
MWK22,2021-09-16,883.25,883.25,876.25,882.25,141,4727
MWK22,2021-09-15,868.25,883,864,882,381,4706
MWK22,2021-09-14,862.75,867.25,861,865.25,810,4607
MWK22,2021-09-13,853,860.75,848.75,857.5,449,4429
MWK22,2021-09-10,849.25,862.75,842.5,859.75,867,4149
MWK22,2021-09-09,870.5,870.5,844.75,852,2145,4149
MWK22,2021-09-08,882.75,883.25,868.25,871.5,306,4011
MWK22,2021-09-07,891.25,891.25,880.75,884.75,312,3996
MWK22,2021-09-03,875,890.75,875,890,267,3960
MWK22,2021-09-02,870.75,878,870.25,876.5,332,4006
MWK22,2021-09-01,885,885.5,868.5,876,209,4031
MWK22,2021-08-31,885.25,886,872.5,881.25,309,4044
MWK22,2021-08-30,894.25,899,884,885.25,517,4011
MWK22,2021-08-27,886.25,891.75,883.25,889.75,477,3820
MWK22,2021-08-26,885,888.5,884.25,887.75,276,3669
MWK22,2021-08-25,884.5,887.5,878.25,883.25,379,3566
MWK22,2021-08-24,878,883.75,871.5,882.25,216,3536
MWK22,2021-08-23,874.5,887.75,874.5,879.75,215,3476
MWK22,2021-08-20,883,883.25,867.5,879.75,377,3434
MWK22,2021-08-19,887.25,887.5,880.5,884.5,185,3334
MWK22,2021-08-18,886.75,895.5,881.75,889.5,110,3274
MWK22,2021-08-17,906.5,906.5,886.5,887.5,154,3260
MWK22,2021-08-16,903.5,911,900,905,202,3226
MWK22,2021-08-13,894.75,910.75,894.75,905,307,3233
MWK22,2021-08-12,877.75,899.25,876.5,896.5,481,3207
MWK22,2021-08-11,880.5,882.75,875,880,77,3122
MWK22,2021-08-10,870,882.25,870,880.5,131,3123
MWK22,2021-08-09,882.75,884,872.5,873,97,3110
MWK22,2021-08-06,872.5,881.5,872.5,879.75,200,3091
MWK22,2021-08-05,864.25,872.25,864,868.25,45,3091
MWK22,2021-08-04,879,887.5,863.5,866.75,260,3094
MWK22,2021-08-03,880.25,882.5,870.75,880.25,112,3064
MWK22,2021-08-02,865,885,863.5,884.5,140,3061
MWK22,2021-07-30,866.25,870,855,863,202,3086
MWK22,2021-07-29,869,874.5,866.75,871.75,390,3009
MWK22,2021-07-28,854.25,866.5,854.25,863.25,145,3026
MWK22,2021-07-27,846,856.5,846,846,233,3014
MWK22,2021-07-26,848,848,834,843.25,118,3018
MWK22,2021-07-23,865.5,870.5,846.5,847,209,3022
MWK22,2021-07-22,857,866,840,866,429,2983
MWK22,2021-07-21,880.25,880.5,865,866.5,531,2889
MWK22,2021-07-20,895.75,903.75,875.75,880.25,412,2703
MWK22,2021-07-19,897.5,902.75,878.25,885,214,2587
MWK22,2021-07-16,857,884.5,857,879,528,2439
MWK22,2021-07-15,836,854.25,836,854,296,2439
MWK22,2021-07-14,820.5,832.75,820.5,832.75,101,2362
MWK22,2021-07-13,824.5,825,814.75,818.5,191,2317
MWK22,2021-07-12,798,821.25,798,819.75,209,2283
MWK22,2021-07-09,787.5,793.75,787.5,792.75,156,2213
MWK22,2021-07-08,791,793,781,783.5,59,2138
MWK22,2021-07-07,787,787,785.5,785.5,110,2136
MWK22,2021-07-06,796.75,796.75,768.25,779.75,195,2131
MWK22,2021-07-02,823.5,823.5,810.25,818,137,2124
MWK22,2021-07-01,831,831,817.25,817.25,307,2181
MWK22,2021-06-30,788,824.75,787,824.75,424,2208
MWK22,2021-06-29,810,814.5,785.75,792.25,501,2173
MWK22,2021-06-28,790,800,790,800,451,2012
MWK22,2021-06-25,795,795,780,785,325,1931
MWK22,2021-06-24,787.5,793.75,785,786.25,141,1931
MWK22,2021-06-23,775,789.5,774,789.5,359,1925
MWK22,2021-06-22,774.5,786.25,765.75,765.75,380,1750
MWK22,2021-06-21,747.5,766,747.5,757.5,50,1728
MWK22,2021-06-18,763,763,751,756.75,153,1742
MWK22,2021-06-17,750,750,750,750,132,1770
MWK22,2021-06-16,770,770,761.75,761.75,78,1789
MWK22,2021-06-15,748.75,756,748.75,756,91,1786
MWK22,2021-06-14,756.75,756.75,756.75,756.75,127,1782
MWK22,2021-06-11,771,775.75,771,775.75,132,1818
MWK22,2021-06-10,775,780.75,771,780.75,174,1833
MWK22,2021-06-09,748.75,771,745.75,770.75,117,1776
MWK22,2021-06-08,780,780,763.5,771.75,608,1792
MWK22,2021-06-07,810,810,773.75,773.75,261,1676
MWK22,2021-06-04,783.25,802,783.25,796,126,1719
MWK22,2021-06-03,785,786.75,769,777.25,104,1719
MWK22,2021-06-02,788.75,793.75,783.25,785.75,285,1688
MWK22,2021-06-01,774.75,784.75,769.5,776,622,1709
MWK22,2021-05-28,740.5,748.75,740.5,745.5,281,1816
MWK22,2021-05-27,719,739.25,718,736,123,1714
MWK22,2021-05-26,700.25,707.5,700.25,705,438,1694
MWK22,2021-05-25,713.25,713.25,700.25,708.25,121,1480
MWK22,2021-05-24,710.25,711.5,708.5,709.75,357,1425
MWK22,2021-05-21,714.25,718.25,713.25,713.5,366,1222
MWK22,2021-05-20,722,725,719.75,719.75,143,1367
MWK22,2021-05-19,714.25,722,710.75,721.25,282,1344
MWK22,2021-05-18,740,744.75,735.75,735.75,123,1272
MWK22,2021-05-17,726.25,737,724.5,736,292,1246
MWK22,2021-05-14,757,760.5,750.25,754,52,1141
MWK22,2021-05-13,780.5,780.5,744.5,756,243,1131
MWK22,2021-05-12,775,780.5,775,779.5,55,1064
MWK22,2021-05-11,771.75,781,771.75,778.25,29,1052
MWK22,2021-05-10,790.5,792.25,766.5,766.5,175,1061
MWK22,2021-05-07,796,809.5,794.75,805.5,256,1043
MWK22,2021-05-06,793,795.5,789,795.5,84,994
MWK22,2021-05-05,775,788.25,774.75,788,173,983
MWK22,2021-05-04,768,776.25,768,773.25,90,961
MWK22,2021-05-03,782.75,787.25,767.75,767.75,194,962
MWK22,2021-04-30,761.75,774.75,760,774.75,120,957
MWK22,2021-04-29,745,759.25,745,759.25,159,932
MWK22,2021-04-28,751.75,763,750,750,150,858
MWK22,2021-04-27,757.5,771.75,757.5,758.75,110,765
MWK22,2021-04-26,760.25,763,757.25,757.5,106,782
MWK22,2021-04-23,727.25,740,727.25,739.25,116,785
MWK22,2021-04-22,706,737.25,706,729.25,33,765
MWK22,2021-04-21,695.75,703.75,695.75,702,118,774
MWK22,2021-04-20,699.75,700,693,693,58,813
MWK22,2021-04-19,695.75,695.75,689,689,3,803
MWK22,2021-04-16,689.75,690.5,689.75,690.5,44,803
MWK22,2021-04-15,689.75,689.75,689.75,689.75,0,788
MWK22,2021-04-14,690,695,685.5,689,48,788
MWK22,2021-04-13,678,680.25,678,680.25,14,774
MWK22,2021-04-12,675,676,674.5,676,21,764
MWK22,2021-04-09,683,685,683,684.75,8,761
MWK22,2021-04-08,675,676,674,674,81,761
MWK22,2021-04-07,654,660.5,654,659.75,76,708
MWK22,2021-04-06,656.75,656.75,652.75,652.75,102,671
MWK22,2021-04-05,650,650,646.5,648.75,14,576
MWK22,2021-04-01,640.25,642.5,640.25,642.5,58,570
MWK22,2021-03-31,645.5,656,645,656,88,598
MWK22,2021-03-30,645,647,644.25,644.25,177,555
MWK22,2021-03-29,649,649.5,648.5,649.5,43,472
MWK22,2021-03-26,658,658,652,652,156,457
MWK22,2021-03-25,651.5,651.5,651.5,651.5,0,378
MWK22,2021-03-24,656.5,660,656.5,658,6,378
MWK22,2021-03-23,662.75,663.75,661,661,26,378
MWK22,2021-03-22,660.75,661.5,657,657.75,26,363
MWK22,2021-03-19,655,658.75,653.75,657.75,242,351
MWK22,2021-03-18,660,660,654.75,654.75,37,237
MWK22,2021-03-17,660,660.5,660,660.5,91,210
MWK22,2021-03-16,667,667,666.5,666.5,85,189
MWK22,2021-03-15,668,668,666.25,666.25,7,134
MWK22,2021-03-12,663.75,663.75,663.75,663.75,0,128
MWK22,2021-03-11,657.75,661,657.75,661,21,128
MWK22,2021-03-10,662,662,661.25,661.25,10,116
MWK22,2021-03-09,663.25,663.25,663.25,663.25,0,106
MWK22,2021-03-08,655,655,655,655,0,106
MWK22,2021-03-05,654.5,659.5,654.5,657.25,38,106
MWK22,2021-03-04,659.5,659.5,659.5,659.5,0,114
MWK22,2021-03-03,659.5,659.5,659.5,659.5,0,114
MWK22,2021-03-02,663,663,663,663,0,114
MWK22,2021-03-01,652.5,652.5,652.5,652.5,0,114
MWK22,2021-02-26,656.5,656.5,656.5,656.5,0,114
MWK22,2021-02-25,665,667.75,665,667.75,76,114
MWK22,2021-02-24,668.25,669.25,667,669.25,21,61
MWK22,2021-02-23,662.25,662.25,662.25,662.25,0,40
MWK22,2021-02-22,664,664,662.25,662.25,1,40
MWK22,2021-02-19,663.75,663.75,658,658,1,39
MWK22,2021-02-18,655,658.5,655,658.5,14,39
MWK22,2021-02-17,646.25,646.25,646.25,646.25,0,32
MWK22,2021-02-16,644.5,647.25,644.5,647.25,1,32
MWK22,2021-02-12,644,644,644,644,0,31
MWK22,2021-02-11,643,643,643,643,0,31
MWK22,2021-02-10,643.75,643.75,643.75,643.75,0,31
MWK22,2021-02-09,645.5,645.5,645.5,645.5,0,31
MWK22,2021-02-08,645,650.5,645,650.5,1,31
MWK22,2021-02-05,642.5,642.5,642.5,642.5,0,30
MWK22,2021-02-04,643.25,643.25,635.25,643.25,2,30
MWK22,2021-02-03,640,640,640,640,0,28
MWK22,2021-02-02,637,637,637,637,0,28
MWK22,2021-02-01,636.5,636.5,634.75,634.75,2,28
MWK22,2021-01-29,639.25,639.25,631.25,639.25,6,28
MWK22,2021-01-28,645,645,634.75,634.75,1,28
MWK22,2021-01-27,651,651,645,645,2,27
MWK22,2021-01-26,648,651,648,651,6,25
MWK22,2021-01-25,625.5,638.25,625.5,638.25,5,19
MWK22,2021-01-22,625.5,625.5,625.5,625.5,0,16
MWK22,2021-01-21,642,642,642,642,1,16
MWK22,2021-01-20,639.75,639.75,639.75,639.75,0,16
MWK22,2021-01-19,645,645,645,645,0,16
MWK22,2021-01-15,645.75,645.75,645.75,645.75,4,16
MWK22,2021-01-14,635,642,635,642,4,16
MWK22,2021-01-13,629,637.25,629,635,9,4
MWK22,2021-01-12,625.75,629.25,625.75,628.5,14,10
MWK22,2021-01-11,625,625,625,625,0,2
MWK22,2021-01-08,625.5,625.5,625.5,625.5,0,2
MWK22,2021-01-07,624.25,624.25,624.25,624.25,0,2
MWK22,2021-01-06,629.25,629.25,629.25,629.25,0,2
MWK22,2021-01-05,629.25,629.25,629.25,629.25,0,2
MWK22,2021-01-04,623,623,623,623,0,2
MWK22,2020-12-31,623.25,623.25,623.25,623.25,0,2
MWK22,2020-12-30,623.25,623.25,623.25,623.25,0,2
MWK22,2020-12-29,613.75,613.75,613.75,613.75,0,2
MWK22,2020-12-28,612,612,612,612,1,2
MWK22,2020-12-24,614,614,614,614,0,2
MWK22,2020-12-23,609.75,609.75,609.75,609.75,0,2
MWK22,2020-12-22,606.75,606.75,606.75,606.75,0,2
MWK22,2020-12-21,608.25,608.25,608.25,608.25,1,2
MWK22,2020-12-18,608.25,608.25,608.25,608.25,0,2
MWK22,2020-12-17,608.25,608.25,608.25,608.25,0,2
MWK22,2020-12-16,601.75,601.75,601.75,601.75,0,2
MWK22,2020-12-15,602.75,602.75,602.75,602.75,0,2
