p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,203000,EU27_2020	91.31 f	96.35 p	91.50 	90.96 	90.87 	100.00 
NI,I15,203000,EU28	: 	97.07 p	92.40 	90.83 	90.06 	100.00 
NI,I15,203000,FI	83.90 f	91.35 	89.45 	87.59 	86.23 	100.00 
NI,I15,203000,FR	88.20 f	94.02 	90.33 	86.23 	88.90 	100.00 
NI,I15,203000,HR	68.74 f	: c	: c	: c	: c	: c
NI,I15,203000,HU	84.10 f	91.10 	84.40 	81.40 	87.30 	100.00 
NI,I15,203000,IE	81.34 f	90.85 	86.36 	81.47 	86.19 	100.00 
NI,I15,203000,IT	92.90 f	94.60 	93.50 	92.10 	94.00 	100.00 
NI,I15,203000,LT	82.45 f	85.71 	81.39 	80.51 	79.79 	100.00 
NI,I15,203000,LU	75.78 f	87.34 	80.76 	77.67 	76.97 	100.00 
NI,I15,203000,LV	94.09 f	96.16 	92.41 	89.06 	93.79 	100.00 
NI,I15,203000,MT	94.91 f	93.83 	92.92 	92.49 	92.41 	100.00 
NI,I15,203000,NL	80.00 f	89.30 	85.10 	81.00 	83.50 	100.00 
NI,I15,203000,PL	98.57 f	101.11 p	94.64 	94.19 	95.89 	100.00 
NI,I15,203000,PT	106.11 f	111.93 	109.51 	105.33 	100.72 	100.00 
NI,I15,203000,RO	101.56 f	114.30 	98.84 	148.89 	94.41 	100.00 
NI,I15,203000,SE	88.30 f	100.70 	95.90 	87.40 	85.20 	100.00 
NI,I15,203000,SI	82.14 f	88.64 	83.63 	78.73 	88.67 	100.00 
NI,I15,203000,SK	79.60 f	86.70 	79.08 	79.51 	89.02 	100.00 
NI,I15,203000,UK	91.30 f	103.73 	100.79 	89.62 	82.58 	100.00 
NI,I15,203100,AT	: 	89.50 	82.10 	77.20 	85.80 	100.00 
NI,I15,203100,BE	: 	85.81 	86.97 	82.12 	81.81 	100.00 
NI,I15,203100,BG	: 	102.00 	96.90 	78.80 	81.40 	100.00 
NI,I15,203100,CY	: 	82.93 	80.13 	88.93 	103.53 	100.00 
NI,I15,203100,CZ	: 	83.90 	77.20 	76.70 	84.60 	100.00 
NI,I15,203100,DE	: 	100.00 	94.40 	91.80 	93.30 	100.00 
NI,I15,203100,DK	: 	87.78 	92.77 	89.56 	88.83 	100.00 
NI,I15,203100,EE	: 	86.64 	84.30 	83.72 	83.84 	100.00 
NI,I15,203100,EL	: 	92.98 	92.67 	93.63 	98.26 	100.00 
NI,I15,203100,ES	: 	91.50 	87.40 	85.60 	89.30 	100.00 
NI,I15,203100,EU27_2020	: 	95.58 p	90.06 	90.52 	88.90 	100.00 
NI,I15,203100,EU28	: 	96.24 p	90.98 	90.24 	87.89 	100.00 
NI,I15,203100,FI	: 	96.71 	92.55 	88.37 	82.91 	100.00 
NI,I15,203100,FR	: 	91.38 	87.36 	82.65 	84.18 	100.00 
NI,I15,203100,HR	: 	: c	: c	: c	: c	: c
NI,I15,203100,HU	: 	89.50 	82.20 	79.90 	85.10 	100.00 
NI,I15,203100,IE	: 	88.63 	84.09 	77.93 	82.26 	100.00 
NI,I15,203100,IT	: 	94.30 	91.30 	89.90 	90.10 	100.00 
NI,I15,203100,LT	: 	83.80 	80.24 	79.75 	78.46 	100.00 
NI,I15,203100,LU	: 	86.86 	79.85 	77.08 	75.78 	100.00 
NI,I15,203100,LV	: 	96.16 	92.41 	89.06 	93.79 	100.00 
NI,I15,203100,MT	: 	90.35 	90.80 	90.80 	91.62 	100.00 
NI,I15,203100,NL	: 	88.20 	83.30 	78.10 	79.30 	100.00 
NI,I15,203100,PL	: 	100.95 p	93.18 	92.60 	94.10 	100.00 
NI,I15,203100,PT	: 	111.27 	110.51 	106.17 	101.29 	100.00 
NI,I15,203100,RO	: 	114.28 	96.60 	160.92 	95.61 	100.00 
NI,I15,203100,SE	: 	99.40 	94.60 	86.70 	83.80 	100.00 
NI,I15,203100,SI	: 	84.36 	79.45 	73.50 	83.55 	100.00 
NI,I15,203100,SK	: 	85.50 	77.63 	78.14 	88.10 	100.00 
NI,I15,203100,UK	: 	102.55 	99.90 	87.51 	78.13 	100.00 
NI,I15,203110,AT	: 	88.80 	80.60 	75.00 	84.00 	100.00 
NI,I15,203110,BE	: 	85.32 	86.47 	80.56 	77.91 	100.00 
NI,I15,203110,BG	: 	106.30 	101.80 	79.40 	81.00 	100.00 
NI,I15,203110,CY	: 	82.24 	79.38 	88.14 	102.53 	100.00 
NI,I15,203110,CZ	: 	83.80 	76.70 	76.20 	84.20 	100.00 
NI,I15,203110,DE	: 	100.00 	94.40 	91.80 	93.30 	100.00 
NI,I15,203110,DK	: 	86.77 	92.81 	89.16 	87.73 	100.00 
