# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE RO PL Q04-22","FRPQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL CAL-22","FVBY 2022","202212","2022-01-01","2022-12-31",8760,,,,,76.2,0.59,,,,
"2021-07-16","F PXE RS BL CAL-23","FVBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL CAL-24","FVBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL CAL-25","FVBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL CAL-26","FVBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL CAL-27","FVBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL M01-22","FVBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL M07-21","FVBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,92.48,0.12,,,,
"2021-07-16","F PXE RS BL M08-21","FVBM Aug21","202108","2021-08-01","2021-08-31",744,,,,,93.08,0.82,,,,
"2021-07-16","F PXE RS BL M09-21","FVBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,94.77,1.09,,,,
"2021-07-16","F PXE RS BL M10-21","FVBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL M11-21","FVBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL M12-21","FVBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q01-22","FVBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q01-23","FVBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q02-22","FVBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q02-23","FVBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q03-22","FVBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,,0.00,,,,
"2021-07-16","F PXE RS BL Q04-21","FVBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,95.5,2.23,,,,
