sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
100001-200000,SHEN,HAT,BE	0.00 	0.00 	1.00 	1.00 	1.00 	2.00 	2.00 	2.00 	2.00 	2.00 	3.00 	3.00 	3.00 	4.00 	6.00 	5.00 	5.00 	6 	: 	: 	4 	8 	9 	8 	8 	7 	9 	9 	10 	7 	9 	8 	8 	5 	9 	9 	9 	10 	11 	17 	18 	19 	22 	23 	20 	22 	21 	24 
100001-200000,SHEN,HAT,BG	: c	3.00 	: c	4.00 	6.00 	4.00 	: c	: c	2.00 	3.00 	6.00 	8.00 	3.00 	4.00 	6.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,CY	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	1.00 	1.00 	1.00 	0.00 	0.00 	0.00 	0.00 	2.00 	2.00 	2.00 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,DE	4.00 	4.00 	: 	: 	: 	7.00 	6.00 	4.00 	4.00 	3.00 	: 	3.00 	3.00 	: c	: 	9.00 	9.00 	6 	6 	6 	8 	7 	6 	6 	6 	6 	5 	7 	5 	: b	8 	7 	7 	10 	8 	9 	8 	10 	14 	13 	13 	13 	13 	17 	21 	19 	21 	27 
100001-200000,SHEN,HAT,DK	0.00 	: c	: c	: c	0.00 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	2 	2 	2 	3 	2 	2 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	4 	6 	6 	7 	7 	8 
100001-200000,SHEN,HAT,EE	: c	: c	: c	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,EL	3.00 	2.00 	: c	: c	: c	: c	: c	: c	: c	2.00 p	: c	: c	: c	: c	: c	: c	5.00 	8 	6 	4 	: 	5 	7 	7 	7 	8 	10 	11 	9 	11 	13 	10 	12 	12 	15 	19 	17 	18 	17 	19 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,ES	3.00 p	3.00 p	3.00 p	3.00 p	1.00 	1.00 p	1.00 p	3.00 p	3.00 p	3.00 p	3.00 	3.00 p	4.00 p	4.00 	4.00 	5.00 	5.00 	6 	6 	8 	6 	7 	7 	7 	9 	9 	10 	17 	11 	11 	11 	11 	13 	20 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,FI	2.00 	3.00 	3.00 	2.00 	2.00 	2.00 	2.00 	1.00 	1.00 	1.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	4 	4 	4 	4 	5 	5 	3 	8 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,FR	: 	2.00 p	0.00 p	2.00 p	2.00 p	2.00 p	2.00 p	: c	: c	: c	: c	: c	: c	6.00 	: c	7.00 	7.00 	7 	: 	9 	12 	12 	11 	11 	15 	17 	17 	18 	19 	22 	23 	27 	26 	29 	27 	30 	31 	33 	33 	38 	48 	48 	53 	60 	56 	62 	62 	54 
100001-200000,SHEN,HAT,HR	: c	: c	: c	: c	: c	: c	: c	2.00 	3.00 	: 	: 	2.00 	2.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,HU	5.00 	5.00 	6.00 	7.00 	8.00 	8.00 	9.00 	23.00 	13.00 	13.00 	13.00 	11.00 	10.00 	8.00 	11.00 	9.00 	7.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	6 	6 	5 	5 	7 	7 	7 	6 	5 	4 	8 	7 	7 	7 	7 	7 	8 	7 	7 	7 	8 	6 
100001-200000,SHEN,HAT,IS	: c	: c	1.00 	1.00 	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,IT	2.00 	4.00 	: 	2.00 	3.00 	4.00 	4.00 	2.00 	4.00 	0.00 	: 	0.00 	0.00 	5.00 	5.00 	: 	6.00 	6 	6 	6 	7 	: 	8 	6 	8 	9 	8 	9 	12 	13 	13 	9 	12 	14 	16 	19 	11 	17 	24 	28 	29 	24 	29 	34 	37 	44 	50 	59 
100001-200000,SHEN,HAT,LT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
100001-200000,SHEN,HAT,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,MT	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,NL	6.00 	5.00 	1.00 	3.00 	2.00 	: 	4.00 	0.00 	4.00 	0.00 	4.00 	0.00 	6.00 	: 	5.00 	: 	9.00 	: 	: 	: 	: 	: 	: 	: 	: 	7 	8 	6 	6 	7 	10 	11 	12 	13 	14 	17 	18 	19 	21 	22 	26 	25 	34 	33 	38 	38 	44 	42 
100001-200000,SHEN,HAT,PL	15.00 	14.00 	14.00 	16.00 	18.00 	17.00 	20.00 	18.00 	14.00 	16.00 	17.00 	19.00 	23.00 	24.00 	30.00 	28.00 	34.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
