currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01200000,FI	16.66 	17.71 	16.20 	16.89 	18.87 	19.56 	21.75 	21.36 	18.69 	15.97 	13.42 	20.70 	19.22 	13.98 	11.84 	12.09 	12.49 	12.66 	13.13 	13.10 
EUR,01200000,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.10 	14.90 	18.86 	11.77 	9.24 	9.25 	10.68 	9.55 	10.43 	10.22 
EUR,01200000,HR	15.11 	15.03 	14.84 	11.88 	15.28 	16.03 	16.39 	20.67 	15.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01200000,HU	14.31 	14.46 	11.98 	11.46 	12.61 	12.89 	13.58 	19.52 	16.47 	11.12 	8.60 	12.17 	16.34 	7.61 	7.03 	8.87 	10.29 	8.33 	8.57 	10.01 
EUR,01200000,LT	11.94 	14.12 	12.39 	10.97 	11.40 	11.66 	13.57 	17.55 	17.54 	11.32 	7.17 	13.19 	15.37 	10.88 	8.40 	8.95 	8.62 	9.79 	9.69 	8.90 
EUR,01200000,LU	12.75 	15.65 	12.72 	11.44 	13.02 	11.69 	13.08 	17.5 	15.54 	13.01 	7.19 	10.00 	19.34 	10.12 	8.38 	8.34 	9.59 	8.00 	10.13 	9.54 
EUR,01200000,LV	12.27 	14.19 	11.74 	10.81 	11.73 	11.69 	15.06 	17.89 	17.02 	11.25 	7.94 	11.93 	16.41 	9.58 	7.6 	9.14 	9.22 	10.00 	9.50 	10.23 
EUR,01200000,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.70 	16.65 	10.90 	8.50 	8.85 	9.75 	8.70 	10.20 	10.10 
EUR,01200000,PL	14.05 p	14.00 	12.88 	11.87 	12.31 	12.76 	13.21 	17.8 	18.10 	10.57 	7.57 	14.71 	15.91 	9.89 	6.87 	7.77 	8.03 	8.60 	9.93 	9.02 
EUR,01200000,PT	17.00 	18.84 	19.00 	20.00 	19.69 	21.00 	21.00 	20.04 	16.31 	14.98 	13.25 	19.37 	14.58 	12.00 	12.00 	13.00 	12.00 	12.41 	14.13 	10.97 
